zip_code,market_value,total_livable_area
19127,243700,1
19127,264300,1
19127,223200,1
19127,268500,1
19127,228700,1
19127,235900,1
19127,542000,1
19127,328200,1
19127,332900,1
19127,227100,1
19127,160500,1
19127,251400,1
19127,232500,1
19127,275800,1
19127,341600,1
19127,251700,1
19127,251500,1
19127,201000,1
19127,255600,1
19127,246600,1
19127,382000,1
19127,2708700,1
19127,90200,1
19127,240100,1
19127,222200,1
19127,367400,1
19127,281100,1
19127,391400,1
19127,440300,1
19127,255400,1
19127,195900,1
19127,185900,1
19127,256600,1
19127,227800,1
19127,273300,1
19127,273500,1
19127,263700,1
19127,228400,1
19127,389900,1
19127,431200,1
19127,230900,1
19127,264600,1
19127,282300,1
19127,530200,1
19127,407600,1
19127,247200,1
19127,530200,1
19127,209900,1
19127,586100,1
19127,205600,1
19127,217000,1
19127,274900,1
19127,298800,1
19127,292100,1
19127,260800,1
19127,324100,1
19127,509000,1
19127,560200,1
19127,217600,1
19127,286200,1
19127,591500,1
19127,39600,1
19127,237500,1
19127,241900,1
19127,206900,1
19127,210600,1
19127,294500,1
19127,224400,1
19127,219200,1
19127,11500,1
19127,258900,1
19127,284800,1
19127,372600,1
19127,299000,1
19127,274900,1
19127,357000,1
19127,334500,1
19127,294800,1
19127,248500,1
19127,318400,1
19127,262400,1
19127,321200,1
19127,321200,1
19127,327400,1
19127,311600,1
19127,268300,1
19127,449000,1
19127,351600,1
19127,249800,1
19127,214700,1
19127,254000,1
19127,224700,1
19127,39600,1
19127,286400,1
19127,275700,1
19127,320000,1
19127,287500,1
19127,262900,1
19127,512600,1
19127,259500,1
19127,208800,1
19127,267800,1
19127,315400,1
19127,379500,1
19127,335300,1
19127,360800,1
19127,572000,1
19127,199700,1
19127,217900,1
19127,238000,1
19127,279900,1
19127,260600,1
19127,247600,1
19127,219000,1
19127,284900,1
19127,221500,1
19127,244600,1
19127,225500,1
19127,271100,1
19127,248800,1
19127,262300,1
19127,228000,1
19127,232600,1
19127,193300,1
19127,592500,1
